frame,fps_frame,n_dets,n_fused,n_tracks,n_drawn,n_voronoi_points,n_hold_points,dup_pairs,id_switches_cum
185,1.087,23,20,20,11,11,0,0,2
186,1.063,23,19,19,11,11,0,0,2
187,1.097,23,19,19,11,11,0,0,2
188,1.1,23,19,19,11,11,0,0,2
189,1.034,23,20,20,11,11,0,0,2
190,1.059,23,20,20,11,11,0,0,2
191,1.11,23,20,20,11,11,0,0,2
192,1.079,23,22,22,11,11,0,0,2
193,1.106,23,21,21,11,11,0,0,2
194,1.103,23,21,21,11,11,0,0,2
195,1.14,23,20,20,11,11,0,0,2
196,1.081,23,20,20,11,11,0,0,2
197,1.128,23,19,19,11,11,0,0,2
198,1.086,23,19,19,11,11,0,0,2
199,1.107,23,19,19,11,11,0,0,2
200,1.119,23,18,18,11,11,0,0,2
201,1.113,23,19,19,11,11,0,0,2
202,1.103,23,19,19,11,11,0,0,2
203,1.072,23,19,19,11,11,0,0,2
204,1.119,23,19,19,11,11,0,0,2
205,1.095,23,19,19,11,11,0,0,2
206,1.072,23,19,19,11,11,0,0,2
207,1.077,23,19,19,11,11,0,0,2
208,1.069,23,20,20,11,11,0,0,2
209,1.044,23,21,21,11,11,0,0,2
210,1.11,23,20,20,11,11,0,0,2
211,1.096,23,20,20,11,11,0,0,2
212,1.114,23,21,21,11,11,0,0,2
213,1.095,23,21,21,11,11,0,0,2
214,1.107,23,21,21,11,11,0,0,2
215,1.093,23,21,21,11,11,0,0,2
216,1.124,23,20,20,11,11,0,0,2
217,1.101,23,21,21,11,11,0,0,2
218,1.102,23,21,21,11,11,0,0,2
219,1.011,23,20,20,11,11,0,0,2
220,1.047,23,22,22,11,11,0,0,2
221,1.063,23,21,21,11,11,0,0,2
222,1.022,23,21,21,11,11,0,0,2
223,1.011,23,21,21,11,11,0,0,2
224,1.023,23,22,22,11,11,0,0,2
225,1.026,23,22,22,11,11,0,0,2
226,1.028,23,21,21,11,11,0,0,2
227,1.105,23,21,21,11,11,0,0,2
228,1.103,23,21,21,11,11,0,0,2
229,1.108,23,21,21,11,11,0,0,2
230,1.102,23,21,21,11,11,0,0,2
231,1.079,23,21,21,11,11,0,0,2
232,1.132,23,21,21,11,11,0,0,2
233,1.1,23,20,20,11,11,0,0,2
234,1.138,22,21,21,11,11,0,0,2
235,1.078,22,22,22,11,11,0,0,2
236,1.132,22,22,22,11,11,0,0,2
237,1.132,22,20,20,11,11,0,0,2
238,1.123,22,19,19,11,11,0,0,2
239,1.119,22,21,21,11,11,0,0,2
240,1.105,23,22,22,11,11,0,0,2
241,1.079,24,21,21,11,11,0,0,2
242,1.076,24,23,23,11,11,0,0,2
243,1.071,24,22,22,11,11,0,0,2
244,1.08,24,21,21,11,11,0,0,2
245,1.091,24,21,21,11,11,0,0,2
246,1.089,23,20,20,11,11,0,0,2
247,1.101,23,20,20,11,11,0,0,2
248,1.084,23,20,20,11,11,0,0,2
249,1.113,23,21,21,11,11,0,0,2
250,1.076,23,20,20,11,11,0,0,2
251,1.088,23,20,20,11,11,0,0,2
252,1.029,23,20,20,11,11,0,0,2
253,1.037,23,20,20,11,11,0,0,2
254,1.085,23,20,20,11,11,0,0,2
255,1.114,23,21,21,11,11,0,0,2
256,1.094,23,20,20,11,11,0,0,2
257,1.119,23,20,20,11,11,0,0,2
258,1.105,23,21,21,11,11,0,0,2
259,1.091,23,20,20,11,11,0,0,2
260,1.092,23,20,20,11,11,0,0,2
261,1.119,23,18,18,11,11,0,0,2
262,1.124,23,19,19,11,11,0,0,2
263,1.119,23,18,18,11,11,0,0,2
264,1.098,22,19,19,11,11,0,0,2
265,1.097,22,18,18,11,11,0,0,2
266,1.133,23,19,19,11,11,0,0,2
267,1.099,24,19,19,11,11,0,0,2
